Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Saco do Diogo/03_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video3/;-45.283621;-23.935384;1
Saco do Diogo/04_Diogo_Lu_0103_Raso_GoPro2_Video4/;-45.283621;-23.935384;1
Saco do Diogo/04_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video4/;-45.283621;-23.935384;0
Saco do Diogo/05_Diogo_Lu_0103_Raso_GoPro2_Video5/;-45.283621;-23.935384;1
Saco do Diogo/05_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video5/;-45.283621;-23.935384;0
Saco do Diogo/06_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video6/;-45.283621;-23.935384;0
Saco do Diogo/07_Diogo_Lu_0103_Raso_GoProLu_Video1/;-45.283621;-23.935384;0
Saco do Diogo/07_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video7/;-45.283621;-23.935384;1
Saco do Diogo/08_Diogo_Lu_0103_Raso_GoProLu_Video2/;-45.283621;-23.935384;0
Saco do Diogo/08_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video8/;-45.283621;-23.935384;0
Saco do Diogo/09_SacodoDiogo_Juan_Fundo_0103_GoPro1_Video9/;-45.283621;-23.935384;0
Saco do Diogo/10_Diogo_Lu_0103_Raso_GoProLu_Video4/;-45.283621;-23.935384;1
Saco do Diogo/10_SacodoDiogo_Juan_Fundo_0103_GoProRe_Video1/;-45.283621;-23.935384;0
Saco do Diogo/11_Diogo_Lu_0103_Raso_GoProLu_Video5/;-45.283621;-23.935384;1
Saco do Diogo/11_SacodoDiogo_Juan_Fundo_0103_GoProRe_Video2/;-45.283621;-23.935384;0
Saco do Diogo/12_SacodoDiogo_Juan_Fundo_0103_GoProRe_Video3/;-45.283621;-23.935384;1
Saco do Diogo/13_Diogo_Lu_0103_Raso_GoProLu_Video7/;-45.283621;-23.935384;1
Saco do Sombrio/01_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video1/;-45.243995;-23.893302;0
Saco do Sombrio/01_SacodoSombrio_Lu_2802_Raso_GoPro1_Video1/;-45.243995;-23.893302;1
Saco do Sombrio/02_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video2/;-45.243995;-23.893302;0
Saco do Sombrio/02_SacodoSombrio_Lu_2802_Raso_GoPro1_Video2/;-45.243995;-23.893302;1
Saco do Sombrio/03_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video3/;-45.243995;-23.893302;0
Saco do Sombrio/03_SacodoSombrio_Lu_2802_Raso_GoPro1_Video3/;-45.243995;-23.893302;0
Saco do Sombrio/04_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video4/;-45.243995;-23.893302;0
Saco do Sombrio/04_SacodoSombrio_Lu_2802_Raso_GoPro1_Video4/;-45.243995;-23.893302;1
Saco do Sombrio/05_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video5/;-45.243995;-23.893302;0
Saco do Sombrio/05_SacodoSombrio_Lu_2802_Raso_GoPro1_Video5/;-45.243995;-23.893302;1
Saco do Sombrio/06_SacodoSombrio_Lu_2802_Raso_GoProLu_Video1/;-45.243995;-23.893302;1
Saco do Sombrio/07_SacodoSombrio_Juan_2802_Fundo_GoPro2_Video7/;-45.243995;-23.893302;0
Saco do Sombrio/07_SacodoSombrio_Lu_2802_Raso_GoProLu_Video2/;-45.243995;-23.893302;0
