"decimalLongitude","decimalLatitude","moca","code"
-78.65423584,9.524550438,1,"OBIS425"
-78.6930541992,22.6266670227,1,"OBIS430"
-64.5980606079,17.7844104767,1,"OBIS431"
-67.0082778931,17.9018096924,1,"OBIS434"
-67.0699768066,17.9150009155,1,"OBIS437"
-87.9080352783,17.1550502777,1,"OBIS440"
-64.6994400024,18.3080291748,1,"OBIS447"
-76.8740310669,18.3748664856,1,"OBIS449"
-64.5774230957,17.7793197632,1,"OBIS450"
-67.0404968262,17.924779892,1,"OBIS451"
-64.7644729614,18.3602199554,1,"OBIS452"
-87.4477767944,19.9583339691,1,"OBIS454"
-67.044128418,17.9239807129,1,"OBIS455"
-64.6429519653,17.7869701385,1,"OBIS457"
-78.9462661743,9.55101680756,1,"OBIS458"
-67.1160888672,17.9361991882,1,"OBIS459"
-87.5361099243,19.1458339691,1,"OBIS462"
-78.88126373,9.562049866,1,"OBIS463"
-79.2900009155,21.0898170471,1,"OBIS464"
-64.6627502441,17.7790393829,1,"OBIS465"
-64.5732192993,17.777639389,1,"OBIS469"
-64.6673965454,18.3477706909,1,"OBIS470"
-87.4516677856,19.9666671753,1,"OBIS473"
-67.0840835571,17.9177398682,1,"OBIS474"
-64.6000518799,17.7894592285,1,"OBIS475"
-78.8731842,9.576016426,1,"OBIS476"
-64.5669174194,17.7811794281,1,"OBIS477"
-87.8308334351,18.2286109924,1,"OBIS479"
-64.5727462769,17.7895107269,1,"OBIS480"
-38.6556663513,-17.968000412,1,"OBIS481"
-64.5828170776,17.7866802216,1,"OBIS485"
-87.4630584717,20.0974998474,1,"OBIS486"
-63.2594985962,17.6248340607,1,"OBIS487"
-82.7713317871,24.6954898834,1,"OBIS488"
-67.0497436523,17.9228000641,1,"OBIS491"
-64.5808105469,17.7821598053,1,"OBIS494"
-79.5863876343,22.8369445801,1,"OBIS496"
-67.0326919556,17.925699234,1,"OBIS497"
-80.1064987183,19.6663837433,1,"OBIS499"
-82.3302154541,21.5487995148,1,"OBIS500"
-64.749671936,18.3733997345,1,"OBIS501"
-64.7987670898,18.324590683,1,"OBIS505"
-66.8577194214,11.7421503067,1,"OBIS507"
-84.4898300171,21.8343162537,1,"OBIS508"
-77.987449646,25.1437492371,1,"OBIS510"
-82.9055633545,24.6888809204,1,"OBIS513"
-93.5983581543,27.9073390961,1,"OBIS517"
-67.0081176758,17.9063892365,1,"OBIS518"
-64.7634658813,18.3178825378,1,"OBIS519"
-64.6157073975,17.7978401184,1,"OBIS520"
-93.5914993286,27.9053325653,1,"OBIS523"
